id,slug,title,description,price,rating,review_count,images,condition,category,brand,payee_email,currency,checkout_link,reviews,meta,in_stock,created_at,updated_at,is_featured,published,listed_by,collections,checkout_flow
2023-trek-madone-sl6-gen6-full-carbon-shimano-105-r7170-di2-2x12-speed-size-52,2023-trek-madone-sl6-gen6-full-carbon-shimano-105-r7170-di2-2x12-speed-size-52,2023 Trek Madone SL6 Gen6 Full Carbon Shimano 105 R7170 Di2 2x12 Speed Size 52,"This item is in excellent condition with minimal signs of use. It is a beautiful piece with hardly any wear. Please check the photos for more details. Since it is a used item, there may be small scratches not shown in photos. We thank you for your understanding.

Specs:
• Year: 2023
• Frame: Carbon
• Fork: Carbon
• Main Components: SHIMANO 105 R7170 Di2 2X12S
• Crankset: SHIMANO 105 FC R7100 170mm 50T:34T
• Wheels: BONTRAGER AEOLUS ELITE 50
• Tires: 700 X 25C
• Cassette Sprocket: 12S 11T:34T
• Handlebar Width: 420mm
• Stem Length: 90mm
• Size: 52
• Top Tube Length: 534mm (C-C) (horizontal equivalent)
• Seat Tube Length: 650mm~710mm (C-T)
• Suitable Height: 165cm~175cm
• Weight: 8.5kg (as shown in the photo)
• Number: X1275S

Complete inspection and all included accessories are shown in the photos. Pedals are not included unless otherwise stated.",1399.99,4.80,3,"[""https://vfuedgrheyncotoxseos.supabase.co/storage/v1/object/public/product-images/2023-trek-madone-sl6-gen6-full-carbon-shimano-105-r7170-di2-2x12-speed-size-52/img1.webp"",""https://vfuedgrheyncotoxseos.supabase.co/storage/v1/object/public/product-images/2023-trek-madone-sl6-gen6-full-carbon-shimano-105-r7170-di2-2x12-speed-size-52/img10.webp"",""https://vfuedgrheyncotoxseos.supabase.co/storage/v1/object/public/product-images/2023-trek-madone-sl6-gen6-full-carbon-shimano-105-r7170-di2-2x12-speed-size-52/img11.webp"",""https://vfuedgrheyncotoxseos.supabase.co/storage/v1/object/public/product-images/2023-trek-madone-sl6-gen6-full-carbon-shimano-105-r7170-di2-2x12-speed-size-52/img12.webp"",""https://vfuedgrheyncotoxseos.supabase.co/storage/v1/object/public/product-images/2023-trek-madone-sl6-gen6-full-carbon-shimano-105-r7170-di2-2x12-speed-size-52/img2.webp"",""https://vfuedgrheyncotoxseos.supabase.co/storage/v1/object/public/product-images/2023-trek-madone-sl6-gen6-full-carbon-shimano-105-r7170-di2-2x12-speed-size-52/img3.webp"",""https://vfuedgrheyncotoxseos.supabase.co/storage/v1/object/public/product-images/2023-trek-madone-sl6-gen6-full-carbon-shimano-105-r7170-di2-2x12-speed-size-52/img4.webp"",""https://vfuedgrheyncotoxseos.supabase.co/storage/v1/object/public/product-images/2023-trek-madone-sl6-gen6-full-carbon-shimano-105-r7170-di2-2x12-speed-size-52/img5.webp"",""https://vfuedgrheyncotoxseos.supabase.co/storage/v1/object/public/product-images/2023-trek-madone-sl6-gen6-full-carbon-shimano-105-r7170-di2-2x12-speed-size-52/img6.webp"",""https://vfuedgrheyncotoxseos.supabase.co/storage/v1/object/public/product-images/2023-trek-madone-sl6-gen6-full-carbon-shimano-105-r7170-di2-2x12-speed-size-52/img7.webp"",""https://vfuedgrheyncotoxseos.supabase.co/storage/v1/object/public/product-images/2023-trek-madone-sl6-gen6-full-carbon-shimano-105-r7170-di2-2x12-speed-size-52/img8.webp"",""https://vfuedgrheyncotoxseos.supabase.co/storage/v1/object/public/product-images/2023-trek-madone-sl6-gen6-full-carbon-shimano-105-r7170-di2-2x12-speed-size-52/img9.webp""]",Used,Sporting Goods > Cycling > Bicycles,Trek,happyemilliano@gmail.com,USD,https://buymeacoffee.com/annahoffman/extras/checkout/9f8c7368-4ffc-46f5-8a98-f57f23ccc38d,[],"{""title"":""2023 Trek Madone SL6 Gen6 Full Carbon Shimano 105 R7170 Di2 2x12 Speed Size 52 | Truegds"",""keywords"":""Trek Madone, SL6, Gen6, Carbon, Shimano 105, Di2, Road Bike, 2023, Size 52, Cycling, Bicycles, Truegds"",""description"":""2023 Trek Madone SL6 Gen6 Full Carbon road bike with Shimano 105 R7170 Di2 2x12 speed. Size 52, excellent condition. Carbon frame, hydraulic disc brakes.""}",true,2025-11-01 22:38:46.439962+00,2025-12-06 20:18:48.376114+00,false,false,,[],buymeacoffee
4-piece-barbie-sassy-woof-dog-accessories-set-limited-edition-xs,4-piece-barbie-sassy-woof-dog-accessories-set-limited-edition-xs,"4-Piece Barbie Sassy Woof Dog Accessories Set – Limited Edition, XS","Brand new Barbie Sassy Woof Limited Edition dog accessories set in size XS with fast shipping. This 4-piece set includes everything you need for stylish walks: waste bag holder (with 1 roll included), fabric leash (60"" x 0.8""), XS adjustable collar (0.39"" x 7–9.5""), and an XS adjustable harness. Perfect for small dogs and Barbie fans looking for a fun, coordinated look.",47.00,5.00,4,"[""https://vfuedgrheyncotoxseos.supabase.co/storage/v1/object/public/product-images/4-piece-barbie-sassy-woof-dog-accessories-set-limited-edition-xs/img2.png""]",Like New," Dog Supplies"," Barbie Sassy Woof",,USD,https://buymeacoffee.com/cortniemartens/extras/checkout/a0be134c-8e7a-4b5f-ac4b-fe2fd77c0743,[],"{""published"":true}",true,2025-12-22 20:05:44.150098+00,2026-01-02 19:32:07.514616+00,false,false,youssef,"[""hobbies-collectibles""]",buymeacoffee
7-for-all-mankind-tailorless-dojo-slim-evolution-jeans-size-30,7-for-all-mankind-tailorless-dojo-slim-evolution-jeans-size-30,7 For All Mankind Tailorless Dojo Slim Evolution Jeans Size 30,"Upgrade your denim rotation with the iconic 7 For All Mankind Tailorless Dojo Slim Evolution jeans. Known for premium comfort and a clean, flattering silhouette, this model delivers a slim fit with the signature Dojo style. Perfect for everyday wear, easy styling, and long-lasting quality.

Crafted from high-quality stretch denim, these jeans offer flexibility, durability, and a timeless look that works with any outfit. Whether casual or dressed up, they keep you looking sharp with minimal effort.

Waist: 40 cm

Rise: 26 cm

Hips: 49 cm

Thigh: 28 cm

Knee: 20 cm

Leg opening: 19 cm

Inseam: 76 cm

Length: 100 cm",90.00,0.00,0,"[""https://vfuedgrheyncotoxseos.supabase.co/storage/v1/object/public/product-images/7-for-all-mankind-tailorless-dojo-slim-evolution-jeans-size-30/img1.jpeg"",""https://vfuedgrheyncotoxseos.supabase.co/storage/v1/object/public/product-images/7-for-all-mankind-tailorless-dojo-slim-evolution-jeans-size-30/img2.jpeg"",""https://vfuedgrheyncotoxseos.supabase.co/storage/v1/object/public/product-images/7-for-all-mankind-tailorless-dojo-slim-evolution-jeans-size-30/img3.jpeg"",""https://vfuedgrheyncotoxseos.supabase.co/storage/v1/object/public/product-images/7-for-all-mankind-tailorless-dojo-slim-evolution-jeans-size-30/img4.jpeg""]",BRAND NEW,Women's Clothing Jeans,7 For All Mankind,,USD,https://buymeacoffee.com/finsteramberrene/extras/checkout/a0702874-1d4f-4221-b344-e77fb00ef664,[],{},false,2025-11-25 01:56:11.957817+00,2025-12-06 20:18:48.376114+00,false,false,,[],buymeacoffee
amazfit-active-2-premium-smart-watch-fitness-tracker-black-leather,amazfit-active-2-premium-smart-watch-fitness-tracker-black-leather,Amazfit Active 2 Smart Watch Round Black Leather Premium 44mm sp170073-C225,"Brand new Amazfit Active 2 Smart Watch, Premium 44mm Round Black Leather edition. This stylish and feature-rich smartwatch is compatible with Android and iOS, and comes with a premium leather band.

Key Features:
- Condition: New, unopened, undamaged, in original packaging
- Brand: Amazfit
- Model: Active 2
- Series: Amazfit Active 2
- Band Material: Leather
- Band Color: Black
- Case Size: 44 mm
- Compatible Operating System: Android, iOS (Apple)
- Operating System: Amazfit OS
- Features: GPS, Upgraded BioTracker 6.0 PPG biosensor (5PD +2LED), advanced heart rate and sleep tracking, stress level, blood oxygen, menstrual cycle tracking, daily readiness score, 316L stainless steel case, sapphire glass (premium version), auto-detects 25 strength exercises, Zepp Coach AI, 160+ sports modes, Zepp Flow AI voice control, Bluetooth calls, offline maps, 5-satellite GPS, 10-day battery life
- MPN: Does Not Apply
- UPC: Does Not Apply

Product Highlights:
- Stylish design with premium materials
- 2,000 nits max display brightness
- Leather or silicone strap options (premium version includes leather)
- Zepp Coach AI for personalized training plans
- Voice control and smart reply features (Android only)
- 5-satellite GPS and offline map support
- Up to 10 days battery life (normal use), 5 days heavy use, 21 hours continuous GPS

Category: Electronics > Wearable Technology > Smart Watches

Enjoy advanced health tracking, fitness features, and a premium look with the Amazfit Active 2. Fast shipping and secure checkout at Truegds.",102.00,4.70,4,"[""https://vfuedgrheyncotoxseos.supabase.co/storage/v1/object/public/product-images/amazfit-active-2-premium-smart-watch-fitness-tracker-black-leather/img1.webp"",""https://vfuedgrheyncotoxseos.supabase.co/storage/v1/object/public/product-images/amazfit-active-2-premium-smart-watch-fitness-tracker-black-leather/img10.webp"",""https://vfuedgrheyncotoxseos.supabase.co/storage/v1/object/public/product-images/amazfit-active-2-premium-smart-watch-fitness-tracker-black-leather/img2.webp"",""https://vfuedgrheyncotoxseos.supabase.co/storage/v1/object/public/product-images/amazfit-active-2-premium-smart-watch-fitness-tracker-black-leather/img3.webp"",""https://vfuedgrheyncotoxseos.supabase.co/storage/v1/object/public/product-images/amazfit-active-2-premium-smart-watch-fitness-tracker-black-leather/img4.webp"",""https://vfuedgrheyncotoxseos.supabase.co/storage/v1/object/public/product-images/amazfit-active-2-premium-smart-watch-fitness-tracker-black-leather/img5.webp"",""https://vfuedgrheyncotoxseos.supabase.co/storage/v1/object/public/product-images/amazfit-active-2-premium-smart-watch-fitness-tracker-black-leather/img6.webp"",""https://vfuedgrheyncotoxseos.supabase.co/storage/v1/object/public/product-images/amazfit-active-2-premium-smart-watch-fitness-tracker-black-leather/img7.webp"",""https://vfuedgrheyncotoxseos.supabase.co/storage/v1/object/public/product-images/amazfit-active-2-premium-smart-watch-fitness-tracker-black-leather/img8.webp"",""https://vfuedgrheyncotoxseos.supabase.co/storage/v1/object/public/product-images/amazfit-active-2-premium-smart-watch-fitness-tracker-black-leather/img9.webp""]",New,Electronics > Wearable Technology > Smart Watches,Amazfit,happyemilliano@gmail.com,USD,https://buymeacoffee.com/annahoffman/extras/checkout/9f8c73c5-38db-4fb7-8134-c2d7b3a65b45,[],"{""title"":""Amazfit Active 2 Smart Watch Round Black Leather Premium 44mm sp170073-C225"",""keywords"":""Amazfit, Active 2, smart watch, premium, leather, 44mm, fitness tracker, GPS, Android, iOS, Zepp Coach, health, wearable, new"",""description"":""Shop the Amazfit Active 2 Smart Watch, Premium 44mm Round Black Leather edition. Advanced health tracking, GPS, and 10-day battery. Fast shipping, secure checkout at Truegds.""}",true,2025-11-01 22:38:46.808189+00,2025-12-06 20:18:48.376114+00,false,false,,[],buymeacoffee
amiri-bones-fleece-hoodie-with-zipper,amiri-bones-fleece-hoodie-with-zipper,Amiri Bones Fleece Hoodie with Zipper,"authentic Amiri Bones hoodie in black, crafted from premium soft fleece for ultimate comfort and style. This full-zip hoodie features the iconic Amiri Bones design, perfect for collectors, hypebeasts, or anyone looking to make a bold fashion statement.
Details:
Brand: Amiri
Style: Bones Fleece Zip-Up Hoodie
Condition: Brand New with Tags (BNWT)
Size: Medium (M)
Color: Black
Material: Premium Fleece – soft, warm, and durable
Features: Full zip closure, ribbed cuffs & hem, signature Amiri streetwear aesthetic

Perfect for layering in casual outfits, adding to a streetwear collection, gifting to Amiri fans, or wearing for everyday urban style.",288.00,5.00,5,"[""https://vfuedgrheyncotoxseos.supabase.co/storage/v1/object/public/product-images/amiri-bones-fleece-hoodie-with-zipper/img1.png"",""https://vfuedgrheyncotoxseos.supabase.co/storage/v1/object/public/product-images/amiri-bones-fleece-hoodie-with-zipper/img2.png"",""https://vfuedgrheyncotoxseos.supabase.co/storage/v1/object/public/product-images/amiri-bones-fleece-hoodie-with-zipper/img3.png"",""https://vfuedgrheyncotoxseos.supabase.co/storage/v1/object/public/product-images/amiri-bones-fleece-hoodie-with-zipper/img4.png"",""https://vfuedgrheyncotoxseos.supabase.co/storage/v1/object/public/product-images/amiri-bones-fleece-hoodie-with-zipper/img5.png"",""https://vfuedgrheyncotoxseos.supabase.co/storage/v1/object/public/product-images/amiri-bones-fleece-hoodie-with-zipper/img6.png"",""https://vfuedgrheyncotoxseos.supabase.co/storage/v1/object/public/product-images/amiri-bones-fleece-hoodie-with-zipper/img7.png"",""https://vfuedgrheyncotoxseos.supabase.co/storage/v1/object/public/product-images/amiri-bones-fleece-hoodie-with-zipper/img8.png"",""https://vfuedgrheyncotoxseos.supabase.co/storage/v1/object/public/product-images/amiri-bones-fleece-hoodie-with-zipper/img9.png"",""https://vfuedgrheyncotoxseos.supabase.co/storage/v1/object/public/product-images/amiri-bones-fleece-hoodie-with-zipper/img10.png"",""https://vfuedgrheyncotoxseos.supabase.co/storage/v1/object/public/product-images/amiri-bones-fleece-hoodie-with-zipper/img11.png"",""https://vfuedgrheyncotoxseos.supabase.co/storage/v1/object/public/product-images/amiri-bones-fleece-hoodie-with-zipper/img12.png"",""https://vfuedgrheyncotoxseos.supabase.co/storage/v1/object/public/product-images/amiri-bones-fleece-hoodie-with-zipper/img13.png"",""https://vfuedgrheyncotoxseos.supabase.co/storage/v1/object/public/product-images/amiri-bones-fleece-hoodie-with-zipper/img14.png"",""https://vfuedgrheyncotoxseos.supabase.co/storage/v1/object/public/product-images/amiri-bones-fleece-hoodie-with-zipper/img15.png""]",Like New,Sweatshirts Hoodies,AMIRI,,USD,https://buymeacoffee.com/biancabutler/extras/checkout/a0d7ded1-d58a-4913-8eb7-7025c6486f31,[],"{""published"":true}",true,2026-01-07 23:51:24.274773+00,2026-01-15 15:16:15.24795+00,false,false,jebbar,"[""fashion""]",buymeacoffee
amiri-plaid-bandana-distressed-denim-thrasher-jeans-clay-indigo-size-34-gently-worn,amiri-plaid-bandana-distressed-denim-thrasher-jeans-clay-indigo-size-34-gently-worn,AMIRI Plaid Bandana Distressed Denim “Thrasher” Jeans – Clay Indigo – Size 34 – Gently Worn,"AMIRI Thrasher jeans in the Clay Indigo wash, featuring signature bandana patchwork, heavy distressing, and that iconic rockstar silhouette.
Size 34 fits true with a slim tapered cut.
Condition: Gently worn, no flaws affecting wear, all details intact.
Rare model and very hard to find.

Measurements Size 34

Waist: 44 cm

Rise: 28 cm

Inseam: 85 cm

Leg Opening: 16 cm",210.00,4.70,3,"[""https://vfuedgrheyncotoxseos.supabase.co/storage/v1/object/public/product-images/amiri-plaid-bandana-distressed-denim-thrasher-jeans-clay-indigo-size-34-gently-worn/img1.jpeg"",""https://vfuedgrheyncotoxseos.supabase.co/storage/v1/object/public/product-images/amiri-plaid-bandana-distressed-denim-thrasher-jeans-clay-indigo-size-34-gently-worn/img2.jpeg"",""https://vfuedgrheyncotoxseos.supabase.co/storage/v1/object/public/product-images/amiri-plaid-bandana-distressed-denim-thrasher-jeans-clay-indigo-size-34-gently-worn/img3.jpeg"",""https://vfuedgrheyncotoxseos.supabase.co/storage/v1/object/public/product-images/amiri-plaid-bandana-distressed-denim-thrasher-jeans-clay-indigo-size-34-gently-worn/img4.jpeg"",""https://vfuedgrheyncotoxseos.supabase.co/storage/v1/object/public/product-images/amiri-plaid-bandana-distressed-denim-thrasher-jeans-clay-indigo-size-34-gently-worn/img5.jpeg"",""https://vfuedgrheyncotoxseos.supabase.co/storage/v1/object/public/product-images/amiri-plaid-bandana-distressed-denim-thrasher-jeans-clay-indigo-size-34-gently-worn/img6.jpeg"",""https://vfuedgrheyncotoxseos.supabase.co/storage/v1/object/public/product-images/amiri-plaid-bandana-distressed-denim-thrasher-jeans-clay-indigo-size-34-gently-worn/img7.jpeg"",""https://vfuedgrheyncotoxseos.supabase.co/storage/v1/object/public/product-images/amiri-plaid-bandana-distressed-denim-thrasher-jeans-clay-indigo-size-34-gently-worn/img8.jpeg"",""https://vfuedgrheyncotoxseos.supabase.co/storage/v1/object/public/product-images/amiri-plaid-bandana-distressed-denim-thrasher-jeans-clay-indigo-size-34-gently-worn/img9.jpeg"",""https://vfuedgrheyncotoxseos.supabase.co/storage/v1/object/public/product-images/amiri-plaid-bandana-distressed-denim-thrasher-jeans-clay-indigo-size-34-gently-worn/img10.jpeg""]",Used - Like New,clothing shoes & accessories,Amiri,,USD,https://buymeacoffee.com/finsteramberrene/extras/checkout/a0701cf2-ce8c-42f4-8137-8fa72126cd74,[],{},false,2025-11-25 01:24:09.657832+00,2025-12-06 20:18:48.376114+00,false,false,,[],buymeacoffee
amiri-playboy-mx-1-skinny-jean-size-34,amiri-playboy-mx-1-skinny-jean-size-34,Amiri Playboy MX-1 Skinny Jean (Size-34),"These are highly sought-after luxury jeans that are very popular with streetwear collectors! The Amiri x Playboy collaboration on the MX-1 model is iconic and justifies a high price tag.

As these jeans are often counterfeited, a successful sales listing must be extremely detailed, with precise measurements and proof of authenticity.

Here is a complete description and measurement chart based on a professional sales template for this type of item:

👖 Detailed Product Description
Item: AMIRI Playboy MX-1 Skinny Jeans (Limited Edition) Size: 34 Condition: Pre-owned - Excellent. (Specify the exact condition for a legitimate sale.)

Background and Style: These MX-1 jeans are from the exclusive AMIRI x Playboy collaboration, merging Amiri's iconic rock and roll style with the Playboy image. The MX-1 model is famous for its distressed panels that are lined with leather or quilted fabric (often featuring the Playboy logo pattern).

Key Details:

Fit: Skinny Fit (Very slim, low/mid rise).

Color: [Specify exact color: Aged Black, Clay Indigo, or Blue Playboy Edition].

Patches: Quilted patches in [Color/Material] under the tears on the thighs and knees.

Manufacturing: Made in the USA from high-quality Italian or Japanese stretch denim (essential for the skinny fit).
",229.00,4.60,7,"[""https://vfuedgrheyncotoxseos.supabase.co/storage/v1/object/public/product-images/amiri-playboy-mx-1-skinny-jean-size-34/img1.webp"",""https://vfuedgrheyncotoxseos.supabase.co/storage/v1/object/public/product-images/amiri-playboy-mx-1-skinny-jean-size-34/img2.webp"",""https://vfuedgrheyncotoxseos.supabase.co/storage/v1/object/public/product-images/amiri-playboy-mx-1-skinny-jean-size-34/img3.webp"",""https://vfuedgrheyncotoxseos.supabase.co/storage/v1/object/public/product-images/amiri-playboy-mx-1-skinny-jean-size-34/img4.webp"",""https://vfuedgrheyncotoxseos.supabase.co/storage/v1/object/public/product-images/amiri-playboy-mx-1-skinny-jean-size-34/img5.webp"",""https://vfuedgrheyncotoxseos.supabase.co/storage/v1/object/public/product-images/amiri-playboy-mx-1-skinny-jean-size-34/img6.webp""]",excellent condition,Jeans,amiri,,USD,https://buymeacoffee.com/angelinadeleoon/extras/checkout/a083b2a3-1d82-4ce2-ab55-7df7b0443658,[],{},true,2025-12-04 19:03:21.722862+00,2025-12-06 20:18:48.376114+00,false,false,,[],buymeacoffee
amiri-skel-top-low-white-purple-us11-ps22mfs003,amiri-skel-top-low-white-purple-us11-ps22mfs003,Amiri Skel Top Low White Purple Leather EUR 44 (US 11) PS22MFS003,"Condition: Pre-owned - GoodThis item has been gently used but remains in good overall condition. As a Pre-owned luxury sneaker, it may show minor signs of use typical of wear, such as light creasing in the leather or slight wear to the soles, but there are no major defects.All essential structural and design elements are intact. Please refer to the photos for the most accurate view of the current condition.Key Features and Design Details:Model/Style: The highly sought-after Amiri Skel Top Low, known for its distinctive and bold aesthetic.Colorway: Iconic Purple and White leather paneling.Signature Design: Features the brand's signature hand-cut and edge-painted leather skeleton appliqués running across the sides of the Low Top profile.Material: Constructed with premium Leather upper material.Fit: Men's US Size 11 (EU 44).Style Code: PS22MFS003, confirming the authenticity and specific release.Craftsmanship: True to the brand, this athletic sneaker offers high-end construction and streetwear style.",155.00,4.50,6,"[""https://vfuedgrheyncotoxseos.supabase.co/storage/v1/object/public/product-images/amiri-skel-top-low-white-purple-us11-ps22mfs003/img1.webp"",""https://vfuedgrheyncotoxseos.supabase.co/storage/v1/object/public/product-images/amiri-skel-top-low-white-purple-us11-ps22mfs003/img2.webp"",""https://vfuedgrheyncotoxseos.supabase.co/storage/v1/object/public/product-images/amiri-skel-top-low-white-purple-us11-ps22mfs003/img3.webp"",""https://vfuedgrheyncotoxseos.supabase.co/storage/v1/object/public/product-images/amiri-skel-top-low-white-purple-us11-ps22mfs003/img4.webp"",""https://vfuedgrheyncotoxseos.supabase.co/storage/v1/object/public/product-images/amiri-skel-top-low-white-purple-us11-ps22mfs003/img5.webp"",""https://vfuedgrheyncotoxseos.supabase.co/storage/v1/object/public/product-images/amiri-skel-top-low-white-purple-us11-ps22mfs003/img6.webp"",""https://vfuedgrheyncotoxseos.supabase.co/storage/v1/object/public/product-images/amiri-skel-top-low-white-purple-us11-ps22mfs003/img7.webp"",""https://vfuedgrheyncotoxseos.supabase.co/storage/v1/object/public/product-images/amiri-skel-top-low-white-purple-us11-ps22mfs003/img8.webp"",""https://vfuedgrheyncotoxseos.supabase.co/storage/v1/object/public/product-images/amiri-skel-top-low-white-purple-us11-ps22mfs003/img9.webp"",""https://vfuedgrheyncotoxseos.supabase.co/storage/v1/object/public/product-images/amiri-skel-top-low-white-purple-us11-ps22mfs003/img10.webp""]",excellent condition,Men's Shoes,amiri,,USD,https://buymeacoffee.com/buckwalterdavid/extras/checkout/a0a7feca-a482-4ed8-9a56-f226935503d3,[],"{""published"":true}",true,2025-11-24 22:45:05.047142+00,2025-12-22 20:06:11.434009+00,false,false,walid,[],buymeacoffee
apple-airpods-max-violet-usb-c-excellent-condition-with-original-box,apple-airpods-max-violet-usb-c-excellent-condition-with-original-box,"Apple AirPods Max Violet USB-C – Excellent Condition, with Original Box","Experience premium sound with the Apple AirPods Max in the stunning Violet color. These headphones are in excellent condition and have been used only occasionally.

Details:

Model: Apple AirPods Max (Violet)
Latest USB-C connection
Includes original box and all accessories
Warranty valid until February 2026
Battery performance is like new
Exceptional sound quality with Active Noise Cancellation
From a smoke-free household
Minimal, barely noticeable signs of use (see photos)",280.00,5.00,5,"[""https://vfuedgrheyncotoxseos.supabase.co/storage/v1/object/public/product-images/apple-airpods-max-violet-usb-c-excellent-condition-with-original-box/img1.png"",""https://vfuedgrheyncotoxseos.supabase.co/storage/v1/object/public/product-images/apple-airpods-max-violet-usb-c-excellent-condition-with-original-box/img2.png"",""https://vfuedgrheyncotoxseos.supabase.co/storage/v1/object/public/product-images/apple-airpods-max-violet-usb-c-excellent-condition-with-original-box/img3.png"",""https://vfuedgrheyncotoxseos.supabase.co/storage/v1/object/public/product-images/apple-airpods-max-violet-usb-c-excellent-condition-with-original-box/img4.png"",""https://vfuedgrheyncotoxseos.supabase.co/storage/v1/object/public/product-images/apple-airpods-max-violet-usb-c-excellent-condition-with-original-box/img5.png"",""https://vfuedgrheyncotoxseos.supabase.co/storage/v1/object/public/product-images/apple-airpods-max-violet-usb-c-excellent-condition-with-original-box/img6.png"",""https://vfuedgrheyncotoxseos.supabase.co/storage/v1/object/public/product-images/apple-airpods-max-violet-usb-c-excellent-condition-with-original-box/img7.png"",""https://vfuedgrheyncotoxseos.supabase.co/storage/v1/object/public/product-images/apple-airpods-max-violet-usb-c-excellent-condition-with-original-box/img8.png""]",Like New,Electronics Audio,Apple,,USD,https://buymeacoffee.com/cortniemartens/extras/checkout/a1002e23-c2e9-4a94-8a92-bc9f15b22123,[],"{""published"":true}",true,2026-01-17 19:19:54.850071+00,2026-02-04 16:11:14.332613+00,false,false,jebbar,"[""electronics""]",buymeacoffee
apple-airpods-pro-3,apple-airpods-pro-3,Apple Airpods Pro 3,"State:
New (practically unused, original packaging and papers included)

Occasion:
Everyday use / Casual

Seller's Comments:
“Item is practically new, in its original packaging and papers.”

Color:
White

Brand:
Apple

Type:
In-ear (in the ear canal)

Form Factor:
Intra-aural

Microphone Type:
Built-in

Connectivity:
Bluetooth

Model:
Apple AirPods Pro

Features:
• Active Noise Cancellation
• Noise Reduction
• Wireless Technology: Bluetooth",150.00,4.00,4,"[""https://vfuedgrheyncotoxseos.supabase.co/storage/v1/object/public/product-images/apple-airpods-pro-3/img1.png"",""https://vfuedgrheyncotoxseos.supabase.co/storage/v1/object/public/product-images/apple-airpods-pro-3/img2.png"",""https://vfuedgrheyncotoxseos.supabase.co/storage/v1/object/public/product-images/apple-airpods-pro-3/img3.png"",""https://vfuedgrheyncotoxseos.supabase.co/storage/v1/object/public/product-images/apple-airpods-pro-3/img4.png"",""https://vfuedgrheyncotoxseos.supabase.co/storage/v1/object/public/product-images/apple-airpods-pro-3/img5.png"",""https://vfuedgrheyncotoxseos.supabase.co/storage/v1/object/public/product-images/apple-airpods-pro-3/img6.png"",""https://vfuedgrheyncotoxseos.supabase.co/storage/v1/object/public/product-images/apple-airpods-pro-3/img7.png"",""https://vfuedgrheyncotoxseos.supabase.co/storage/v1/object/public/product-images/apple-airpods-pro-3/img8.png""]",Excellent,Airpods,Apple,,USD,https://buymeacoffee.com/finsteramberrene/extras,[],{},true,2025-12-02 00:12:27.31281+00,2025-12-06 20:18:48.376114+00,false,false,,[],buymeacoffee
